"AgeGroup","Weighted_Women","Weighted_Births","ASFR_per_1000"
"15-19",11175206.9877056,113391.58961986,10.15
"20-24",9871755.57754875,1203203.74744497,121.88
"25-29",8560035.72129324,1814422.59384045,211.96
"30-34",7305850.07910744,1437119.46234095,196.71
"35-39",6639882.32960598,850189.872455511,128.04
"40-44",5388746.50095966,338410.791827624,62.8
"45-49",4094405.01844046,94027.3669081239,22.96
